section_order,section_name,item_order,object_schema,object_name,object_type,attribute_name,attribute_value,status,severity,notes
1,REPORT_METADATA,1,null,Package 1R-S,report,source_sha256,8ad84ff0f9b7193bc4ef0cd1ae9003398a62d94b1c7a025c2f3829320dff4c5a,INFO,INFO,Unified metadata report; external review is required.
2,SERVER_VERSION,1,null,server,server,version,"PostgreSQL 17.6 on x86_64-pc-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit",INFO,INFO,Server version reported without modification.
3,DATABASE_IDENTITY,1,null,postgres,database,current_database,postgres,INFO,INFO,Database name only; no connection details.
4,SESSION_USER_AND_CURRENT_USER,1,null,session_user,session_identity,session_user,postgres,INFO,INFO,Operational identity metadata.
4,SESSION_USER_AND_CURRENT_USER,2,null,current_user,session_identity,current_user,postgres,INFO,INFO,Operational identity metadata.
5,CURRENT_SCHEMA,1,null,public,schema_context,current_schema,public,INFO,INFO,Current schema.
6,READ_ONLY_SESSION_STATE,1,null,transaction_read_only,session_setting,transaction_read_only,off,WARNING,HIGH,Read-only/session state metadata.
6,READ_ONLY_SESSION_STATE,2,null,default_transaction_read_only,session_setting,default_transaction_read_only,off,INFO,INFO,Read-only/session state metadata.
6,READ_ONLY_SESSION_STATE,3,null,search_path,session_setting,search_path,"""\$user"", public, extensions",INFO,INFO,Read-only/session state metadata.
7,SERVER_ADDRESS_AND_PORT,1,null,server,network_metadata,server_address,2406:da1a:b00:1300:4b0a:5a51:749d:ca12/128,INFO,LOW,Server endpoint metadata only; no credentials.
7,SERVER_ADDRESS_AND_PORT,2,null,server,network_metadata,server_port,5432,INFO,LOW,Server endpoint metadata only; no credentials.
8,EXTENSIONS_AND_VERSIONS,1,extensions,pg_stat_statements,extension,version,1.11,PRESENT,INFO,Installed extension metadata.
8,EXTENSIONS_AND_VERSIONS,2,extensions,pgcrypto,extension,version,1.3,PRESENT,INFO,Installed extension metadata.
8,EXTENSIONS_AND_VERSIONS,3,pg_catalog,plpgsql,extension,version,1.0,PRESENT,INFO,Installed extension metadata.
8,EXTENSIONS_AND_VERSIONS,4,vault,supabase_vault,extension,version,0.3.1,PRESENT,INFO,Installed extension metadata.
8,EXTENSIONS_AND_VERSIONS,5,extensions,uuid-ossp,extension,version,1.1,PRESENT,INFO,Installed extension metadata.
9,SCHEMAS,1,auth,auth,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,2,extensions,extensions,schema,owner,postgres,PRESENT,INFO,Schema inventory.
9,SCHEMAS,3,graphql,graphql,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,4,graphql_public,graphql_public,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,5,information_schema,information_schema,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,6,pg_catalog,pg_catalog,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,7,pg_temp_0,pg_temp_0,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,8,pg_temp_10,pg_temp_10,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,9,pg_temp_11,pg_temp_11,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,10,pg_temp_12,pg_temp_12,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,11,pg_temp_13,pg_temp_13,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,12,pg_temp_14,pg_temp_14,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,13,pg_temp_15,pg_temp_15,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,14,pg_temp_17,pg_temp_17,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,15,pg_temp_18,pg_temp_18,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,16,pg_temp_19,pg_temp_19,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,17,pg_temp_2,pg_temp_2,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,18,pg_temp_20,pg_temp_20,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,19,pg_temp_21,pg_temp_21,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,20,pg_temp_22,pg_temp_22,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
9,SCHEMAS,21,pg_temp_23,pg_temp_23,schema,owner,supabase_admin,PRESENT,INFO,Schema inventory.
